,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,agent_name,alpha,epochs,c_point,time,best_score
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KAN-PPO,0.0003,50,550,1956.4159,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PPO-Agent,0.0003,50,337,148.9038954,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,KAN-PPO,0.003,100,999,1138.704412,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,KAN-PPO,0.003,20,392,1085.600121,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,PPO-Agent,0.003,20,370,169.3873107,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KAN-PPO,0.003,20,999,2357.591477,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,KAN-PPO,0.003,50,999,776.8529263,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,KAN-PPO,0.0003,20,182,597.4740441,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,PPO-Agent,0.0003,20,265,107.2401001,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,DQN,0.001,10,1,0.003020287,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,DQN,0.001,10,10,0.032000303,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,DQN,0.001,10,10,0.105508327,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,DQN,0.001,10,10,0.034000635,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,DQN,0.001,1000,400,0.353999853,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,Kan-DQN,0.001,1000,400,7.529649496078491,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,DQN,0.001,10,9,4.418625831604004,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,DQN,0.001,200,199,1479.6786890029907,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,DQN,0.0003,500,499,189.19192743301392,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,DQN,0.0003,500,499,1549.7097787857056,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,PPO-Agent,0.0003,20,999,312.84999346733093,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,PPO-Agent,0.0003,100,1999,650.3052790164948,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,PPO-Agent,0.0003,100,999,222.019689321518,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,PPO-Agent,0.0003,100,999,10350.749143600464,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,PPO-Agent,0.0003,10,99,52.55719232559204,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,PPO-Agent,0.0003,100,99,70.88186240196228,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,PPO-Agent,0.0003,100,99,39.45192670822144,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,PPO-Agent,0.0003,20,299,697.9734785556793,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,PPO-Agent,0.0003,50,199,32.39894151687622,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,PPO-Agent,0.0003,50,321,203.031346321106,0.0
29,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,PPO-Agent,0.0003,50,263,145.50534009933472,0.0
30,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,KAN-PPO,0.0003,50,548,2455.702189445496,0.0
31,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,PPO-Agent,0.0003,50,265,115.30391240119934,0.0
32,32.0,32.0,,,,,,,,,,,,,,,,,,,,Vanilla Actor-Critic Agent,0.0003,10,0,3.153371334075928,0.0
33,33.0,,,,,,,,,,,,,,,,,,,,,Vanilla Actor-Critic Agent,0.0003,1000,0,152.9913637638092,0.0
34,,,,,,,,,,,,,,,,,,,,,,KAN based Actor-Critic Agent,0.0003,1000,0,789.6464431285858,0.0
